is_baseline_formation,PC1,PC2,PC3,PC4,cycles_to_50_pct,cycles_to_60_pct,cycles_to_70_pct,cycles_to_80_pct
1,-45.17859266,2.615311915,-3.127393955,1.173348808,451,430,387,346
1,-86.14174165,1.217215687,8.338002769,-4.413646266,449,402,362,325
1,-101.7059208,4.589749277,8.690122807,-0.047218047,434,397,348,314
1,6.233036855,-7.484548115,5.366633453,9.0971323,490,478,409,377
1,-96.06389489,-1.44333463,-3.593523478,7.010609482,414,397,357,327
1,-77.83282514,1.968099494,-10.16586234,2.438302395,428,404,374,344
1,-155.7469202,7.852800122,-4.437899839,-4.076081742,386,352,324,300
1,-128.3333704,7.757368463,0.038880214,6.946189772,402,383,341,306
1,-88.18657594,2.868841064,3.892584195,1.197253685,434,404,359,326
1,-143.4261973,3.252197214,3.412409837,-8.6048253,408,350,326,300
0,50.85993236,-31.59680974,-5.397459712,-0.877493718,506,484,448,397
0,-70.38698208,-10.57677431,-3.160048889,-4.852701711,442,401,381,334
0,127.1068171,8.750645976,-12.05967774,-1.672053072,562,533,490,437
0,3.059818621,-4.885257091,0.08762925,-1.072260049,494,458,411,379
0,158.168998,3.266447424,2.139306944,-13.00615862,613,546,499,449
0,192.6130307,9.348076715,4.855121798,3.691802428,624,590,517,458
0,128.1220632,14.77806596,-4.520398484,-0.029692774,576,546,487,433
0,142.7274528,-6.477742539,8.644763828,1.759965733,597,563,493,436
0,60.08649172,-13.88165894,0.46534706,0.654657963,529,504,460,396
0,124.0253798,8.081306048,0.531462272,4.682868734,576,552,485,430
